lang,n,index,method,time_s,iters,converged,rel_residual,drazin_error
Julia,1001,1,GMRES,0.943909,400,false,4.726144e-02,2.628810e+00
Julia,1001,1,DGMRES,0.021722,43,true,4.726144e-02,3.645412e-10
Julia,1002,2,GMRES,0.926197,400,false,1.574234e-02,9.464455e-02
Julia,1002,2,DGMRES,0.039459,46,true,4.964744e-02,1.606389e-09
Julia,1003,3,GMRES,1.196139,400,false,6.430262e-03,1.008196e-01
Julia,1003,3,DGMRES,0.102534,49,true,5.027860e-02,5.335267e-09
Julia,2001,1,GMRES,1.259475,400,false,2.133419e-03,6.958233e-03
Julia,2001,1,DGMRES,0.036901,43,true,2.133419e-03,3.744474e-10
Julia,2002,2,GMRES,1.334966,400,false,9.791183e-03,1.257995e-01
Julia,2002,2,DGMRES,0.053899,47,true,1.002188e-02,9.498754e-10
Julia,2003,3,GMRES,1.304295,400,false,2.602173e-02,3.403925e-02
Julia,2003,3,DGMRES,0.069492,49,true,2.787382e-02,5.532491e-09
Julia,4001,1,GMRES,1.797403,400,false,3.412616e-04,8.296395e-03
Julia,4001,1,DGMRES,0.150479,43,true,3.412616e-04,3.773700e-10
Julia,4002,2,GMRES,1.817352,400,false,1.930226e-02,2.696715e-03
Julia,4002,2,DGMRES,0.174193,47,true,1.930528e-02,9.572035e-10
Julia,4003,3,GMRES,1.795043,400,false,7.362031e-04,4.438549e-02
Julia,4003,3,DGMRES,0.198201,49,true,1.927505e-02,5.563945e-09
