lang,n,index,method,time_s,iters,converged,rel_residual,drazin_error
Python,1001,1,GMRES,2.502070,400,False,4.181385e-02,5.990930e+01
Python,1001,1,DGMRES,0.036877,43,True,4.181385e-02,3.650115e-10
Python,1002,2,GMRES,2.156828,400,False,6.108225e-02,4.852315e+02
Python,1002,2,DGMRES,0.026742,47,True,7.397916e-02,9.257588e-10
Python,1003,3,GMRES,2.132331,400,False,1.670082e-02,2.809341e+00
Python,1003,3,DGMRES,0.032024,49,True,7.583078e-02,5.406047e-09
Python,2001,1,GMRES,2.267910,400,False,1.874711e-02,1.229731e+04
Python,2001,1,DGMRES,0.054093,43,True,1.874711e-02,3.712204e-10
Python,2002,2,GMRES,2.286340,400,False,2.001550e-02,1.903380e+02
Python,2002,2,DGMRES,0.056780,47,True,2.742141e-02,9.406953e-10
Python,2003,3,GMRES,2.297111,400,False,4.681233e-04,5.542410e-02
Python,2003,3,DGMRES,0.070672,49,True,2.742540e-02,5.467020e-09
Python,4001,1,GMRES,3.602296,400,False,2.908144e-02,1.369261e+05
Python,4001,1,DGMRES,0.086104,43,True,2.908144e-02,3.776773e-10
Python,4002,2,GMRES,5.140390,400,False,2.219626e-02,5.723012e+04
Python,4002,2,DGMRES,0.174590,47,True,3.657851e-02,9.583363e-10
Python,4003,3,GMRES,4.254425,400,False,2.929203e-03,8.499955e-02
Python,4003,3,DGMRES,0.128161,49,True,3.669545e-02,5.576382e-09
